"","B. breve","G. vaginalis","A. vaginae","P. bivia","P. colorans","P. timonensis","A. christensenii","L. crispatus","L. gasseri","L. iners","L. jensenii","S. agalactiae","S. anginosus","Megasphaera","Anaerococcus","F. magna","Peptoniphilus","F. nucleatum"
"B. breve",1,-0.0436708276101059,-0.05552433499052,-0.00164825911376805,0.00713932211178936,-0.214177527099627,-0.0354652167706183,0.068715189374406,0.229958000171463,-0.134202480522564,0.032434249690101,0.141173257362374,-0.026394799116118,-0.00342488036597702,-0.0466617967780057,-0.136652628589236,0.000566965620480107,0.0946274392091116
"G. vaginalis",-0.0436708276101057,1,0.0646281885809991,-0.0332913820702473,-0.0253636026353108,0.388497730749886,0.265314142810081,-0.13497071654652,0.0491918395462042,0.00307777212066545,-0.173580119913774,0.188836283699071,-0.164960812566693,0.319474027899861,0.0651150458547221,0.0680320438160137,-0.107198142392598,-0.0424956368055367
"A. vaginae",-0.05552433499052,0.0646281885809991,1,0.436708103844533,-0.0139371745880387,0.126633136104663,0.100892279423028,-0.241679591403418,0.0238531623890018,0.0333610080796406,-0.209316688377306,-0.0756243722036747,0.122812752420957,0.447143515576671,-0.153327712755847,-0.0239502341921145,0.253426272261349,0.12854321066448
"P. bivia",-0.0016482591137681,-0.0332913820702473,0.436708103844533,1,-0.0106635738811275,0.0538848051981296,-0.0351965758202129,-0.176226273311298,0.0754388843173831,-0.0702825374069696,-0.115908050278423,-0.0194229371142056,0.307612666378398,0.191721245145209,-0.010660856152902,0.00562107095755345,0.132135242108835,0.366869249886651
"P. colorans",0.00713932211178932,-0.0253636026353108,-0.0139371745880387,-0.0106635738811275,1,-0.0133436393240318,0.0235677764481261,0.0408572067462276,-0.0505812111957481,0.0133806352972056,0.00954190597204581,0.00582278279936874,-0.00688033093933994,-0.0073229265281272,-0.0225554308542002,-0.0164548262460673,0.023231430605543,0.00196472205531855
"P. timonensis",-0.214177527099627,0.388497730749886,0.126633136104663,0.0538848051981294,-0.0133436393240317,1,0.0796185940511801,-0.353856875571016,0.124064891387347,-0.00814981468574244,-0.305338735854417,-0.0676155868383222,0.12682723593832,-0.0161073238103204,0.331056931508563,0.520604291640696,0.0523274951215077,-0.0815171849410223
"A. christensenii",-0.0354652167706183,0.265314142810081,0.100892279423028,-0.0351965758202129,0.0235677764481261,0.0796185940511799,1,-0.14344672527641,-0.0850348051863623,0.237694650697026,-0.0917814022819627,-0.00314737142407333,-0.124198786297939,0.411843111148995,-0.062340844739562,-0.10365446940719,-0.135433953540953,-0.0152376223323896
"L. crispatus",0.0687151893744059,-0.13497071654652,-0.241679591403418,-0.176226273311298,0.0408572067462276,-0.353856875571016,-0.14344672527641,1,-0.216181302625751,-0.394670059757583,0.149529706722246,0.142049819172967,-0.227939292085253,-0.157312852201857,-0.228188772566277,-0.364458598519574,0.00115951368283106,-0.0239890691634907
"L. gasseri",0.229958000171463,0.0491918395462044,0.0238531623890018,0.0754388843173831,-0.050581211195748,0.124064891387347,-0.0850348051863623,-0.216181302625752,1,-0.160676969019672,-0.099899799303499,0.220975790196917,0.133798635209588,-0.137604218229631,0.306724062708721,0.282848136230421,-0.0134665914194905,0.234120138403249
"L. iners",-0.134202480522564,0.00307777212066537,0.0333610080796407,-0.0702825374069697,0.0133806352972057,-0.00814981468574226,0.237694650697026,-0.394670059757584,-0.160676969019672,1,0.0266194238294234,-0.115477420825495,-0.255372199494866,0.249065950251237,-0.187707216192048,-0.164511206405785,-0.0449740583865349,-0.0645405565256119
