"","B. breve","G. vaginalis","A. vaginae","P. bivia","P. colorans","P. timonensis","A. christensenii","L. crispatus","L. gasseri","L. iners","L. jensenii","S. agalactiae","S. anginosus","Megasphaera","Anaerococcus","F. magna","Peptoniphilus","F. nucleatum"
"B. breve",1,-0.0631072608360406,-0.0645208091102954,-0.0264709983849387,-0.0484220385827449,-0.0781974359421852,-0.074542278634511,-0.0682892112825092,0.0346856958949243,-0.0858858248580057,-0.0616263621947386,0.0620293264730769,0.0753903337725182,-0.0705791625226609,0.0486964941089694,0.0392893973943243,0.00689220719675067,0.0329421353098117
"G. vaginalis",-0.0631072608360406,1,0.457072474244964,0.0673942913299314,0.0275244978344558,0.141363274471069,0.4514573909848,-0.262821070259859,0.0724217239307769,-0.039133630272055,-0.129065239812263,-0.0813162842691838,-0.0174488687962983,0.44054378688836,-0.101183169446983,-0.0777093953396868,0.0122466933756887,-0.0868569621006519
"A. vaginae",-0.0645208091102954,0.457072474244964,1,0.243717091853527,0.00207378406622867,0.189312333188345,0.549256462142609,-0.294169638042442,-0.0640994342045658,0.044539848036988,-0.137818477309385,-0.0241262114618739,-0.0153114538265067,0.667177244674771,-0.082370905176737,-0.0874909764417096,0.00161458004132886,0.0348367511140251
"P. bivia",-0.0264709983849387,0.0673942913299314,0.243717091853527,1,0.0620917996485002,0.149798593908727,0.234236168712353,-0.190380841014053,0.0277386144414644,-0.0614341574806596,-0.112974375335273,0.179916554858819,0.177721198468718,0.126740039628546,0.0711881774987909,0.192212160509901,-0.0293418332323881,0.128883835954042
"P. colorans",-0.0484220385827449,0.0275244978344558,0.0020737840662287,0.0620917996485002,1,0.380206895602466,0.0439757937006188,-0.0871228931480424,0.0682144591809961,-0.0245018360108286,-0.0624839802813899,0.0325305169644298,0.0680502113343029,0.00400271323660241,0.17995685434959,0.172260784146827,0.00118301615582572,-0.0528910411323176
"P. timonensis",-0.0781974359421852,0.141363274471069,0.189312333188345,0.149798593908727,0.380206895602466,1,0.217417828118858,-0.155937878021849,-0.0147061457492267,-0.00449533525262552,-0.116002290550947,0.0362434813868559,0.163352660188768,0.240789495527949,0.262442921103209,0.350825157220963,-0.0273950336020631,-0.0280338370745264
"A. christensenii",-0.074542278634511,0.4514573909848,0.549256462142609,0.234236168712353,0.0439757937006188,0.217417828118858,1,-0.259025508304411,-0.133923096711812,0.118547257876041,-0.0955978725667646,0.15821512076557,0.177978542121322,0.531925078052057,-0.035622220429642,0.0663968806968889,-0.00360684036906421,-0.0075404932832125
"L. crispatus",-0.0682892112825092,-0.262821070259859,-0.294169638042442,-0.190380841014053,-0.0871228931480424,-0.155937878021849,-0.259025508304411,1,-0.315569987706233,-0.404067245361484,0.061814088414726,-0.0319260850912408,-0.096312163742529,-0.238730369536732,-0.00427965013033241,-0.0461587964867484,0.0330112380132015,0.0318498467817641
"L. gasseri",0.0346856958949244,0.0724217239307769,-0.0640994342045658,0.0277386144414644,0.0682144591809961,-0.0147061457492267,-0.133923096711812,-0.315569987706233,1,-0.224699117847767,-0.134706606379136,-0.0497514782965273,-0.0838235707257864,-0.137319040122965,0.0503067179475876,0.0315651300451021,-0.0100668881503577,0.00778255604036419
"L. iners",-0.0858858248580057,-0.0391336302720549,0.0445398480369881,-0.0614341574806596,-0.0245018360108286,-0.00449533525262564,0.118547257876041,-0.404067245361484,-0.224699117847767,1,0.175601643498414,-0.0485711093757707,-0.0171792359617859,0.162609936163049,-0.0551257499512405,-0.071925012121087,0.0108054184458883,-0.00981411312799288
"L. jensenii",-0.0616263621947386,-0.129065239812263,-0.137818477309385,-0.112974375335273,-0.0624839802813899,-0.116002290550947,-0.0955978725667646,0.0618140884147259,-0.134706606379136,0.175601643498414,1,-0.00682358518587435,-0.0472250606080438,-0.120024172201674,-0.0741616765653794,-0.0762373312475029,0.0335688241248949,-0.0141309579626398
"S. agalactiae",0.0620293264730769,-0.0813162842691838,-0.0241262114618739,0.179916554858819,0.0325305169644298,0.036243481386856,0.15821512076557,-0.0319260850912406,-0.0497514782965273,-0.0485711093757707,-0.00682358518587434,1,0.414598078905216,-0.0342044417396375,0.0689039579392501,0.271555907192618,-0.00596392527098839,0.0144071283181453
"S. anginosus",0.0753903337725182,-0.0174488687962983,-0.0153114538265067,0.177721198468718,0.0680502113343028,0.163352660188768,0.177978542121322,-0.0963121637425291,-0.0838235707257863,-0.0171792359617859,-0.0472250606080438,0.414598078905216,1,-0.024657448876096,0.0918711834442412,0.426349645888951,-0.0150987073098653,0.0189811712127954
"Megasphaera",-0.0705791625226609,0.44054378688836,0.667177244674771,0.126740039628546,0.00400271323660245,0.240789495527949,0.531925078052057,-0.238730369536732,-0.137319040122965,0.162609936163049,-0.120024172201674,-0.0342044417396375,-0.024657448876096,1,-0.115329643994816,-0.11433939268119,0.0125551839647583,-0.0129596203893609
"Anaerococcus",0.0486964941089693,-0.101183169446983,-0.082370905176737,0.0711881774987909,0.17995685434959,0.262442921103208,-0.035622220429642,-0.00427965013033244,0.0503067179475876,-0.0551257499512405,-0.0741616765653794,0.0689039579392501,0.0918711834442412,-0.115329643994816,1,0.362157109817614,-0.0152353982369159,0.0545883423388642
"F. magna",0.0392893973943243,-0.0777093953396868,-0.0874909764417096,0.192212160509901,0.172260784146827,0.350825157220963,0.0663968806968889,-0.0461587964867485,0.0315651300451021,-0.071925012121087,-0.0762373312475029,0.271555907192618,0.426349645888951,-0.11433939268119,0.362157109817614,1,-0.0345011727637105,0.00427782374295314
"Peptoniphilus",0.00689220719675038,0.0122466933756888,0.00161458004132895,-0.0293418332323882,0.00118301615582572,-0.027395033602063,-0.00360684036906454,0.0330112380132012,-0.0100668881503572,0.0108054184458882,0.0335688241248954,-0.00596392527098839,-0.0150987073098655,0.0125551839647584,-0.0152353982369159,-0.0345011727637104,1,0.013201071799422
"F. nucleatum",0.0329421353098117,-0.0868569621006519,0.0348367511140251,0.128883835954042,-0.0528910411323176,-0.0280338370745264,-0.00754049328321249,0.0318498467817641,0.00778255604036415,-0.00981411312799289,-0.0141309579626399,0.0144071283181453,0.0189811712127954,-0.0129596203893609,0.0545883423388642,0.00427782374295313,0.0132010717994221,1
