# Constructed from biom file
#OTU ID	4985-B104-MS28F-388R	4985-B114-MS28F-388R	4985-B122-MS28F-388R	4985-B156-MS28F-388R	4985-B161-MS28F-388R	4985-B163-MS28F-388R	4985-B166-MS28F-388R	4985-B167-MS28F-388R	4985-B172-MS28F-388R	4985-B176-MS28F-388R	4985-B177-MS28F-388R	4985-B178-MS28F-388R	4985-B179-MS28F-388R	4985-B180-MS28F-388R	4985-B183-MS28F-388R	4985-B184-MS28F-388R	4985-B186-MS28F-388R	4985-B187-MS28F-388R	4985-B190-MS28F-388R	4985-B193-MS28F-388R	4985-B194-MS28F-388R	4985-B195-MS28F-388R	4985-B197-MS28F-388R	4985-B198-MS28F-388R	4985-B199-MS28F-388R	4985-B204-MS28F-388R	4985-B207-MS28F-388R	4985-B57-MS28F-388R	4985-B69-MS28F-388R	4985-B87-MS28F-388R	4985-B9-MS28F-388R	4985-M183-MS28F-388R	4985-M189-MS28F-388R	4985-M191-MS28F-388R	4985-M194-MS28F-388R	4985-M201-MS28F-388R	4985-M203-MS28F-388R	4985-M204-MS28F-388R	4985-M211-MS28F-388R	4985-M212-MS28F-388R	4985-M218-MS28F-388R	4985-M220-MS28F-388R	4985-M221-MS28F-388R	4985-M223-MS28F-388R	4985-M225-MS28F-388R	4985-M226-MS28F-388R	4985-M228-MS28F-388R	4985-M230-MS28F-388R	4985-M231-MS28F-388R	4985-M233-MS28F-388R	4985-M234-MS28F-388R	4985-M236-MS28F-388R	4985-M237-MS28F-388R	4985-M241-MS28F-388R	4985-M242-MS28F-388R	4985-M253-MS28F-388R	4985-M254-MS28F-388R	4985-M255-MS28F-388R	4985-M257-MS28F-388R	4985-M261-MS28F-388R	4985-M262-MS28F-388R	4985-M264-MS28F-388R	4985-M269-MS28F-388R	4985-M270-MS28F-388R	4985-M271-MS28F-388R	4985-M279-MS28F-388R	4985-M282-MS28F-388R	4985-M288-MS28F-388R	4985-M289-MS28F-388R	4985-M291-MS28F-388R	4985-M292-MS28F-388R	4985-M294-MS28F-388R	4985-M295-MS28F-388R	4985-M297-MS28F-388R	4985-M298-MS28F-388R	4985-M299-MS28F-388R	4985-M300-MS28F-388R
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_crispatus	836.0	29619.0	26877.0	7.0	3.0	25247.0	12703.0	24960.0	11.0	33342.0	22605.0	0.0	8.0	27909.0	127.0	7.0	11735.0	0.0	19992.0	9.0	0.0	0.0	33377.0	31.0	0.0	29821.0	19.0	0.0	0.0	19281.0	22496.0	1738.0	11443.0	0.0	10097.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	19536.0	0.0	14215.0	11809.0	0.0	19210.0	0.0	13655.0	0.0	1985.0	11359.0	0.0	18038.0	16575.0	11232.0	0.0	0.0	0.0	0.0	8869.0	430.0	14351.0	0.0	0.0	15229.0	6174.0	18652.0	0.0	0.0	23.0	11766.0	18996.0	17988.0	15.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_iners	39.0	0.0	7.0	10760.0	9489.0	0.0	6981.0	29.0	0.0	0.0	1456.0	0.0	10274.0	0.0	14.0	0.0	10576.0	0.0	0.0	0.0	0.0	0.0	64.0	0.0	0.0	0.0	10.0	0.0	0.0	94.0	6.0	0.0	0.0	12225.0	0.0	10712.0	11133.0	0.0	11594.0	11340.0	0.0	0.0	5259.0	0.0	6486.0	0.0	0.0	0.0	0.0	7610.0	16.0	2340.0	0.0	0.0	9949.0	0.0	0.0	0.0	0.0	13558.0	12812.0	1857.0	3740.0	7608.0	0.0	12636.0	6908.0	13.0	8079.0	25.0	0.0	17301.0	60.0	515.0	6.0	0.0	5.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;__	0.0	0.0	24.0	15.0	0.0	0.0	0.0	2.0	1801.0	0.0	0.0	0.0	0.0	0.0	2295.0	0.0	0.0	1821.0	0.0	7008.0	0.0	26928.0	0.0	0.0	14747.0	0.0	6581.0	17.0	0.0	0.0	0.0	7.0	0.0	0.0	0.0	0.0	0.0	10060.0	0.0	0.0	9937.0	93.0	0.0	0.0	0.0	0.0	0.0	207.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8774.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	139.0	0.0	12596.0	0.0	0.0	0.0	15071.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_jensenii	3186.0	0.0	0.0	0.0	0.0	71.0	1661.0	0.0	0.0	0.0	0.0	0.0	5497.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24756.0	22.0	0.0	30140.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1659.0	0.0	8731.0	6566.0	0.0	0.0	75.0	0.0	9223.0	0.0	0.0	0.0	9.0	4467.0	0.0	0.0	0.0	0.0	0.0	0.0	1370.0	2916.0	6512.0	662.0	275.0	89.0	0.0	6993.0	444.0	1700.0	0.0	24213.0	753.0	0.0	2612.0	0.0	103.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_gasseri	0.0	0.0	0.0	7968.0	0.0	0.0	0.0	24.0	17411.0	0.0	0.0	36.0	0.0	0.0	14435.0	0.0	0.0	17127.0	19.0	17075.0	28.0	0.0	0.0	31.0	0.0	6.0	17812.0	9750.0	0.0	34.0	0.0	46.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	258.0	0.0	0.0	0.0	0.0	0.0	2305.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1907.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_anginosus	0.0	0.0	144.0	0.0	0.0	0.0	214.0	0.0	0.0	43.0	0.0	23748.0	0.0	0.0	2776.0	29143.0	3.0	8.0	0.0	0.0	189.0	14.0	0.0	71.0	47.0	0.0	0.0	2740.0	95.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.0	0.0	0.0	44.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	12.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	632.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Streptococcaceae;g__Streptococcus;s__Streptococcus_agalactiae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.0	0.0	13185.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	98.0	0.0	0.0	0.0	0.0	0.0	0.0	142.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_amnii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6294.0	0.0	0.0	0.0	0.0	2725.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_bivia	0.0	0.0	166.0	0.0	0.0	0.0	0.0	0.0	0.0	170.0	0.0	0.0	0.0	0.0	427.0	0.0	0.0	26.0	0.0	214.0	0.0	0.0	0.0	0.0	0.0	0.0	358.0	0.0	4447.0	0.0	0.0	1421.0	0.0	640.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Clostridia;o__Peptostreptococcales-Tissierellales;f__Family_XI;g__Anaerococcus;s__Anaerococcus_sp.	4.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0	0.0	7198.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.0	0.0	6.0	0.0	57.0	0.0	0.0	64.0	0.0	342.0	0.0	0.0	1340.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	606.0	0.0	0.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0
