# Constructed from biom file
#OTU ID	3445-113-MS28F	3445-116-MS28F	3445-117-MS28F	3445-198-MS28F	3445-218-MS28F	3445-220-MS28F	3445-221-MS28F	3445-227-MS28F	3445-228-MS28F	3445-230-MS28F	3445-232-MS28F	3445-233-MS28F	3445-235-MS28F	3445-237-MS28F	3445-238-MS28F	3445-240-MS28F	3445-242-MS28F	3445-243-MS28F	3445-245-MS28F	3445-246-MS28F	3445-248-MS28F	3445-250-MS28F	3445-251-MS28F	3445-253-MS28F	3445-254-MS28F	3445-256-MS28F	3445-258-MS28F	3445-259-MS28F	3445-260-MS28F	3445-272-MS28F	3445-273-MS28F	3445-276-MS28F	3445-277-MS28F	3445-278-MS28F	3445-280-MS28F	3445-281-MS28F	3445-283-MS28F	3445-285-MS28F	3445-286-MS28F	3445-289-MS28F	3445-290-MS28F	3445-291-MS28F	3445-294-MS28F	3445-295-MS28F	3445-297-MS28F	3445-298-MS28F	3445-299-MS28F	3445-300-MS28F	3445-302-MS28F	3445-304-MS28F	3445-305-MS28F	3446-306-MS28F	3446-308-MS28F	3446-310-MS28F	3446-314-MS28F	3446-315-MS28F	3446-316-MS28F	3446-318-MS28F	3446-320-MS28F	3446-321-MS28F	3446-323-MS28F	3446-324-MS28F	3446-325-MS28F	3446-327-MS28F	3446-329-MS28F	3446-330-MS28F	3446-346-MS28F	3446-347-MS28F	3446-348-MS28F	3446-352-MS28F	3446-353-MS28F	3446-358-MS28F	3446-361-MS28F	3446-367-MS28F	3446-368-MS28F	3446-369-MS28F	3446-373-MS28F	3446-374-MS28F	3446-376-MS28F	3446-378-MS28F	3446-380-MS28F	3446-394-MS28F	3446-395-MS28F	3446-396-MS28F	3446-398-MS28F	3446-400-MS28F	3446-401-MS28F	3446-414-MS28F	3446-417-MS28F	3446-423-MS28F	3446-425-MS28F	3446-426-MS28F	3446-428-MS28F	3446-430-MS28F	3446-431-MS28F	3446-432-MS28F	3446-433-MS28F	3446-434-MS28F	3446-436-MS28F	3446-437-MS28F	3446-439-MS28F	3446-441-MS28F	3446-442-MS28F	3446-449-MS28F	3446-450-MS28F	3446-461-MS28F	3446-462-MS28F	3446-463-MS28F	3446-464-MS28F	3446-465-MS28F	3446-467-MS28F	3446-468-MS28F	3446-470-MS28F	3446-476-MS28F	3446-478-MS28F	3446-479-MS28F	3446-481-MS28F	3446-486-MS28F	3446-487-MS28F	3446-491-MS28F	3446-495-MS28F	3446-498-MS28F	3446-500-MS28F	3446-507-MS28F	3446-509-MS28F	3446-510-MS28F	3446-513-MS28F	3446-514-MS28F	3446-515-MS28F	3446-516-MS28F	3446-518-MS28F	3446-519-MS28F	3446-520-MS28F	3446-522-MS28F	3446-523-MS28F	3446-524-MS28F	3446-525-MS28F	3446-527-MS28F	3446-528-MS28F	3446-530-MS28F	3446-532-MS28F	3446-533-MS28F	3446-535-MS28F	3446-536-MS28F	3446-538-MS28F	3446-539-MS28F	3446-540-MS28F	3446-542-MS28F	3446-545-MS28F	3446-547-MS28F	3446-550-MS28F	3446-551-MS28F	3446-552-MS28F	3446-554-MS28F	3446-556-MS28F	3446-570-MS28F	3446-571-MS28F	3446-573-MS28F	3446-575-MS28F	3446-576-MS28F	3446-578-MS28F	3446-579-MS28F	3446-581-MS28F	3446-582-MS28F	3446-584-MS28F	3446-586-MS28F	3446-587-MS28F	3446-589-MS28F	3446-591-MS28F	3446-592-MS28F	3446-594-MS28F	3446-595-MS28F	3446-596-MS28F	3446-597-MS28F	3446-599-MS28F	3446-601-MS28F	3446-602-MS28F	3446-604-MS28F	3446-605-MS28F	3446-606-MS28F	3446-607-MS28F	3446-608-MS28F	3446-610-MS28F	3446-620-MS28F	3446-621-MS28F
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_crispatus	0.0	35.0	57.0	35.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	268.0	0.0	15.0	29.0	31.0	26765.0	74906.0	17238.0	82821.0	30.0	30892.0	47275.0	38450.0	73.0	17.0	4370.0	32924.0	14.0	22.0	0.0	0.0	0.0	14770.0	21652.0	36240.0	38317.0	47226.0	18394.0	0.0	61.0	48.0	64002.0	17950.0	31143.0	0.0	0.0	0.0	0.0	0.0	134.0	99828.0	34628.0	45.0	77.0	37.0	0.0	22519.0	30978.0	42143.0	71.0	45.0	25.0	76750.0	30739.0	35922.0	0.0	0.0	69.0	6581.0	82.0	55.0	37.0	47457.0	19617.0	38.0	0.0	0.0	11.0	66.0	200.0	106.0	66.0	0.0	104.0	56.0	131.0	105.0	96152.0	46495.0	156135.0	29276.0	61.0	49.0	54.0	68.0	12038.0	38417.0	42.0	0.0	56.0	39.0	42803.0	26059.0	30543.0	25300.0	13.0	107.0	42536.0	126340.0	34722.0	44685.0	33621.0	20347.0	48992.0	48670.0	162.0	46.0	22507.0	31089.0	46.0	71.0	30.0	0.0	10384.0	22868.0	44679.0	101.0	93.0	11.0	97.0	138.0	35228.0	42687.0	32120.0	6525.0	51.0	141.0	147.0	24954.0	22575.0	17231.0	82.0	0.0	20.0	0.0	0.0	22363.0	34066.0	53768.0	24069.0	19889.0	0.0	38.0	58312.0	80834.0	83040.0	21.0	0.0	0.0	40747.0	54451.0	22.0	30.0	45.0	50.0	52691.0	41076.0	89846.0	68327.0	49004.0	74382.0	92540.0	79469.0	69.0	61.0	100.0	77194.0	79418.0	87024.0	99.0	95.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_iners	12337.0	26208.0	22209.0	53246.0	11808.0	5874.0	20320.0	56707.0	8748.0	10066.0	51942.0	41136.0	59275.0	30931.0	57399.0	73738.0	31330.0	127.0	87.0	74.0	68.0	110.0	36999.0	0.0	0.0	112.0	0.0	14267.0	27995.0	28.0	48.0	19607.0	13699.0	14476.0	39201.0	36671.0	38167.0	7639.0	4719.0	192.0	79.0	0.0	0.0	40.0	38.0	0.0	36.0	685.0	0.0	77.0	0.0	90965.0	81673.0	50079.0	130.0	0.0	25.0	21986.0	7241.0	15495.0	0.0	50.0	0.0	8070.0	5502.0	5548.0	113.0	53.0	69.0	0.0	40.0	35.0	0.0	0.0	0.0	21.0	3541.0	806.0	0.0	70.0	0.0	0.0	111.0	92.0	0.0	0.0	225.0	28718.0	22720.0	39441.0	29543.0	230.0	221.0	71.0	0.0	0.0	78.0	0.0	84.0	0.0	0.0	16459.0	8558.0	111.0	62.0	0.0	0.0	0.0	0.0	4.0	93.0	0.0	219.0	84.0	0.0	73.0	27.0	0.0	66.0	21361.0	35.0	3894.0	11354.0	39887.0	51678.0	0.0	0.0	117.0	922.0	79.0	41316.0	60906.0	177.0	196.0	119.0	234.0	66.0	65.0	39527.0	22652.0	13435.0	15473.0	87.0	174.0	115.0	10869.0	10358.0	2490.0	6180.0	14884.0	0.0	0.0	68.0	0.0	0.0	29818.0	35620.0	53.0	0.0	0.0	68933.0	56661.0	55930.0	944.0	1095.0	40459.0	74993.0	58921.0	76909.0	2168.0	1032.0	131.0	0.0	56.0	310.0	185.0	93.0	0.0	0.0	0.0	0.0	0.0	143.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;__	0.0	0.0	48.0	0.0	501.0	105.0	401.0	13.0	0.0	121.0	0.0	24.0	192.0	34.0	13.0	0.0	7.0	19385.0	972.0	10.0	0.0	170.0	179.0	2902.0	0.0	0.0	0.0	0.0	143.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	278.0	85.0	79.0	0.0	0.0	41.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	31.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	12947.0	4937.0	548.0	0.0	9720.0	17378.0	5601.0	55.0	0.0	0.0	813.0	425.0	9574.0	27675.0	66126.0	0.0	0.0	76.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	61.0	37226.0	39284.0	14874.0	20240.0	0.0	0.0	0.0	0.0	53066.0	38066.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	129.0	81.0	0.0	3492.0	11207.0	2.0	0.0	0.0	0.0	0.0	18283.0	0.0	21.0	66.0	0.0	20.0	1216.0	2192.0	823.0	0.0	29.0	0.0	0.0	0.0	0.0	0.0	0.0	97.0	80.0	72.0	0.0	0.0	0.0	36.0	0.0	0.0	0.0	0.0	37.0	0.0	3599.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	24.0	0.0	0.0	0.0	0.0	0.0	6.0	0.0	0.0	0.0	0.0	0.0	65610.0	46340.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_jensenii	0.0	0.0	0.0	0.0	7108.0	7139.0	13206.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	82.0	791.0	0.0	0.0	14813.0	391.0	1139.0	851.0	31494.0	16054.0	0.0	0.0	1473.0	2421.0	11815.0	0.0	0.0	1578.0	1021.0	1878.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	118.0	64.0	0.0	0.0	0.0	0.0	0.0	0.0	470.0	768.0	0.0	0.0	0.0	0.0	0.0	307.0	1774.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26111.0	12631.0	7850.0	0.0	0.0	0.0	0.0	26.0	0.0	18.0	13874.0	70372.0	22379.0	0.0	0.0	1591.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2107.0	509.0	253.0	295.0	0.0	0.0	0.0	13590.0	561.0	68.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	273.0	223.0	219.0	0.0	851.0	0.0	0.0	0.0	351.0	0.0	35.0	5327.0	1412.0	32353.0	32408.0	7939.0	10575.0	14436.0	27646.0	22730.0	635.0	19279.0	33767.0	206.0	383.0	311.0	0.0	0.0	0.0	0.0	1292.0	1459.0	1260.0	0.0	0.0	0.0	1521.0	2401.0	2680.0	0.0	0.0	0.0	2148.0	678.0	1182.0	675.0	59.0	12377.0	3354.0	4742.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Actinobacteriota;c__Coriobacteriia;o__Coriobacteriales;f__Atopobiaceae;g__Atopobium;s__Atopobium_vaginae	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1718.0	0.0	0.0	28.0	327.0	0.0	0.0	0.0	3068.0	46879.0	0.0	53.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	407.0	0.0	14.0	0.0	0.0	0.0	53.0	76.0	0.0	0.0	122.0	1477.0	6107.0	12730.0	0.0	0.0	0.0	0.0	0.0	99.0	0.0	0.0	0.0	0.0	19.0	126.0	0.0	0.0	0.0	56.0	217.0	0.0	0.0	0.0	0.0	105.0	3943.0	4993.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2788.0	11177.0	7468.0	22.0	16.0	0.0	665.0	260.0	714.0	341.0	3036.0	0.0	0.0	0.0	9727.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	515.0	28776.0	0.0	0.0	0.0	0.0	0.0	0.0	64617.0	28091.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4283.0	391.0	23.0	38.0	0.0	11.0	14372.0	0.0	32.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1710.0	0.0	0.0	0.0	0.0	0.0	67.0	4975.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_gasseri	0.0	0.0	0.0	472.0	0.0	0.0	0.0	0.0	0.0	13.0	0.0	0.0	272.0	0.0	0.0	0.0	0.0	33308.0	1803.0	0.0	0.0	158.0	146.0	3343.0	0.0	0.0	127.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	122.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	145.0	375.0	0.0	0.0	48416.0	9141.0	6739.0	12554.0	4037.0	0.0	0.0	21303.0	36326.0	28303.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	124.0	0.0	0.0	0.0	0.0	0.0	0.0	12251.0	12453.0	19149.0	33195.0	0.0	0.0	0.0	0.0	15821.0	12034.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	134.0	0.0	0.0	9238.0	33300.0	45.0	0.0	0.0	0.0	27.0	0.0	0.0	0.0	0.0	73.0	58.0	79546.0	178480.0	58171.0	48.0	0.0	0.0	242.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13517.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.0	0.0	0.0
d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Prevotellaceae;g__Prevotella;s__Prevotella_bivia	0.0	10.0	0.0	0.0	0.0	31.0	48.0	0.0	365.0	95.0	0.0	0.0	0.0	237.0	65.0	420.0	0.0	0.0	0.0	0.0	74.0	0.0	0.0	0.0	0.0	0.0	0.0	13.0	313.0	13304.0	1320.0	0.0	0.0	0.0	0.0	0.0	0.0	23.0	89.0	231.0	51.0	25.0	29461.0	9689.0	4601.0	0.0	28.0	168.0	0.0	37239.0	1261.0	0.0	0.0	0.0	0.0	57.0	615.0	11.0	0.0	0.0	0.0	0.0	0.0	2092.0	2370.0	2470.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5773.0	897.0	111.0	0.0	0.0	175.0	219.0	721.0	2805.0	1070.0	4439.0	48172.0	163.0	358.0	9416.0	114.0	363.0	69.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	18.0	0.0	0.0	8.0	0.0	0.0	10.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	616.0	0.0	0.0	0.0	0.0	24.0	11877.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.0	0.0	0.0	0.0	428.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	38.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_delbrueckii	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	54974.0	49330.0	45459.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Lactobacillaceae;g__Lactobacillus;s__Lactobacillus_acidophilus	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49662.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d__Bacteria;p__Firmicutes;c__Negativicutes;o__Veillonellales-Selenomonadales;f__Veillonellaceae;g__Megasphaera;s__unidentified	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5816.0	2914.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5388.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4769.0	2342.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	10319.0	0.0	24.0	440.0	0.0	617.0	29326.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.0	0.0	0.0	0.0	0.0	0.0	970.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
