sampleID,read_count,Lactobacillus_crispatus,Lactobacillus_iners,Lactobacillus_jensenii,g_Lactobacillus,Lactobacillus_gasseri,g_Streptococcus,g_Anaerococcus,Prevotella_amnii,Prevotella_bivia,Prevotella_timonensis,BVAB1,g_Peptoniphilus,g_Megasphaera,g_Ureaplasma,g_Finegoldia,Prevotella_colorans,Sneathia_amnii,g_Limosilactobacillus,g_Dialister,g_Corynebacterium,g_Actinotignum,Atopobium_vaginae,g_Fusobacterium,g_Prevotella_7,g_Aerococcus,g_Varibaculum,g_Veillonella,g_Parvimonas,g_Ezakiella,g_Staphylococcus,g_Porphyromonas,g_Saccharimonadales,f_Veillonellaceae,g_Actinomyces,g_Methylobacterium-Methylorubrum,Prevotella_buccalis,BVAB2/BVAB3,Sneathia_sanguinegens,g_Fenollaria,Prevotella_disiens,g_DNF00809,g_[Eubacterium]_coprostanoligenes_group,g_Alloprevotella,g_Sutterella,g_Clostridium_sensu_stricto_1,g_Fretibacterium,Prevotella_bacterium,g_Mycoplasma,Prevotella_salivae,g_Treponema,o_Bacteroidales,g_Burkholderia-Caballeronia-Paraburkholderia,g_Facklamia,Gardnerella_bacterium,g_Erysipelotrichaceae_UCG-006,g_Phyllobacterium,g_Escherichia-Shigella,Gardnerella_vaginalis,g_Peptostreptococcus,g_Muribaculaceae,g_Oligella,f_Propionibacteriaceae,g_Rikenellaceae_RC9_gut_group,g_Actinobaculum,g_Solobacterium,g_Campylobacter,Prevotella_oulorum,g_Ligilactobacillus,g_Prevotella,g_Lentimicrobium,g_Blastococcus,g_Turicella,g_Catonella,g_Brevundimonas,g_Bacteroides,Prevotella_sp.,g_Selenomonas,g_Gemella,g_Sphingopyxis,Lactobacillus_paragasseri,g_Tannerella,g_Weeksella,g_Mobiluncus,g_Cutibacterium,g_Bradyrhizobium,g_0319-6G20,g_Craurococcus-Caldovatus,g_Bulleidia,f_Micrococcaceae,g_Enterococcus,g_Lacticaseibacillus,g_Geodermatophilus,g_Chloroplast,g_Brevibacterium,g_Brachybacterium,f_Enterobacteriaceae,g_Trueperella,g_Oribacterium,Atopobium_unidentified,g_Kocuria,f_Microbacteriaceae,g_Pelomonas,g_uncultured,g_Haemophilus,g_Roseomonas,Prevotella_unidentified,g_Howardella,o_Lactobacillales,g_Helcococcus,Fastidiosipila_sanguinis,g_Curtobacterium,g_Sphingobium,Prevotella_aurantiaca,f_Lachnospiraceae,g_Acinetobacter,g_Clostridia_UCG-014,g_Bilophila,g_Arcanobacterium,g_Elizabethkingia,g_Polaromonas,g_Stenotrophomonas,Atopobium_sp.,Atopobium_rimae,g_Acidovorax,Prevotella_bergensis,g_[Eubacterium]_nodatum_group,Lactobacillus_bacterium,g_Chthonomonadales,g_Parcubacteria,g_Rubellimicrobium,g_Flavobacterium,g_Aeromicrobium,f_Rhizobiaceae,g_Eubacterium,f_Aerococcaceae,I-A_sim,I-B_sim,II_sim,III-A_sim,III-B_sim,IV-A_sim,IV-B_sim,IV-C0_sim,IV-C1_sim,IV-C2_sim,IV-C3_sim,IV-C4_sim,V_sim,subCST,score,CST
4985-B104-MS28F-388R,10693.0,836.0,39.0,3186.0,0.0,0.0,3.0,47.0,0.0,0.0,302.0,0.0,108.0,0.0,0.0,0.0,0.0,135.0,0.0,217.0,0.0,0.0,25.0,1268.0,1234.0,0.0,0.0,0.0,119.0,0.0,3.0,272.0,0.0,426.0,4.0,50.0,0.0,0.0,0.0,0.0,97.0,0.0,0.0,249.0,0.0,0.0,239.0,238.0,0.0,208.0,199.0,0.0,0.0,0.0,0.0,163.0,0.0,0.0,0.0,56.0,125.0,0.0,0.0,112.0,0.0,82.0,6.0,95.0,0.0,88.0,81.0,0.0,0.0,68.0,13.0,0.0,54.0,63.0,0.0,0.0,0.0,57.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.08028738989497453,0.11889534685049584,0.0045623409868356295,0.013266134593558163,0.03704926554825794,0.007783572248996442,0.015603140865042798,0.052900425793831155,0.003828757934514504,0.007587410392410195,0.0020174221513375814,0.009139066180623876,0.5082679161817604,V,0.5082679161817604,V
4985-B114-MS28F-388R,29624.0,29619.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9980006104154231,0.8909001308406834,0.004195315852131706,0.001592415876478302,0.09689966906050576,0.00124405500195263,0.009606089601373437,0.03964634240019126,0.006237533223567204,0.02609491981534523,0.0024696573215367674,0.006454379058817286,0.02570468889224859,I-A,0.9980006104154231,I
4985-B122-MS28F-388R,27417.0,26877.0,7.0,0.0,24.0,0.0,144.0,3.0,0.0,166.0,0.0,0.0,35.0,0.0,0.0,16.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999244620633106,0.9014024352009471,0.00432706684813746,0.0017474993419874581,0.09806237044414556,0.0013085251356592974,0.009887552459455997,0.04113940206507127,0.008786447376466078,0.0264696565062218,0.0030711432952666056,0.006878290270661992,0.02604856838458073,I-A,0.999244620633106,I
4985-B156-MS28F-388R,18788.0,7.0,10760.0,0.0,15.0,7968.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002530093550309533,0.0454074168898836,0.49350173107927336,0.6441096670914482,0.6354763955714194,0.051110005264594825,0.11114541655747505,0.09223228984651419,0.02146507292141399,0.018445844501337887,0.0039614932084889075,0.11331269677057255,0.22596255525749953,III-A,0.6441096670914482,III
4985-B161-MS28F-388R,18484.0,3.0,9489.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5863.0,0.0,1955.0,0.0,0.0,12.0,0.0,0.0,67.0,0.0,0.0,39.0,0.0,9.0,70.0,0.0,0.0,48.0,0.0,0.0,0.0,530.0,0.0,0.0,0.0,345.0,0.0,8.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020053431844899066,0.03716932485885745,0.04093373918549855,0.6335526492181343,0.6864894080473194,0.34507738244139535,0.1431553598662334,0.09525808743878154,0.015594996225659036,0.01110698905517749,0.0010598304524341469,0.1184386470073881,0.21773912852327199,III-B,0.6864894080473194,III
4985-B163-MS28F-388R,25394.0,25247.0,0.0,71.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9984912496955259,0.8941416883886997,0.004210504415105555,0.0016389058382389606,0.09720734383052676,0.00124932694565835,0.00965385486614578,0.03986926930865316,0.006175964010721976,0.026155238240698795,0.0024628614643193727,0.0064823674337919955,0.026935548971883796,I-A,0.9984912496955259,I
4985-B166-MS28F-388R,22771.0,12703.0,6981.0,1661.0,0.0,0.0,240.0,353.0,0.0,0.0,66.0,0.0,110.0,0.0,148.0,236.0,0.0,0.0,45.0,0.0,46.0,0.0,0.0,0.0,0.0,30.0,0.0,86.0,0.0,0.0,54.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6771900323008935,0.8288616157081843,0.028301604097115383,0.29577252055951664,0.4691795675426037,0.03331577662926995,0.08008958432152039,0.11519534583004526,0.0239465795050288,0.031727594040496444,0.005189561377587465,0.0756806530528401,0.21609946914472486,I-B,0.8288616157081843,I
4985-B167-MS28F-388R,25709.0,24960.0,29.0,0.0,2.0,24.0,0.0,111.0,0.0,0.0,28.0,0.0,141.0,0.0,0.0,180.0,0.0,0.0,68.0,19.0,31.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.999579859049851,0.9065607480355261,0.0049159201356590125,0.002208322953115314,0.09899395292093134,0.0014566112632019115,0.010175537078917989,0.04206879860258984,0.006434497548687374,0.026459146190723228,0.0026509169211460276,0.007167161841577518,0.026439802547007202,I-A,0.999579859049851,I
4985-B172-MS28F-388R,19378.0,11.0,0.0,0.0,1801.0,17411.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013139228172468684,0.015589063076606435,0.8823010739653037,0.0032001520445710295,0.004336376967330369,0.0003548978469496605,0.002483592055016904,0.017479063682700503,0.010559519065794123,0.013591054819702832,0.005077270679429132,0.005630059720408975,0.025075636786734325,II,0.8823010739653037,II
4985-B176-MS28F-388R,33643.0,33342.0,0.0,0.0,0.0,0.0,43.0,0.0,0.0,170.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9986493292261428,0.8956036836355387,0.004237279066107199,0.0015997332879888516,0.09734218912602238,0.0012655143790202953,0.009724651358056472,0.04031122915799154,0.006808894636953546,0.026229374347102968,0.002655659216090637,0.006581511413508747,0.025836211114794866,I-A,0.9986493292261428,I
